"question","description"
"What are the different events in figure skating?","Ice acrobatic sport categories"
"What is the function of the circulatory system?","Blood movement biological purpose"
"How do you make a proper guacamole?","Mexican avocado dip preparation technique"
"What are the rules of skiing competitions?","Snow sport regulations"
"What is the difference between heat and temperature?","Thermal property measurement comparison"
"How do you properly cook basmati rice?","Aromatic long-grain preparation method"
"What is the difference between judo and wrestling?","Grappling sport technique comparison"
"What are the stages of the carbon cycle?","Element circulation process phases"
"How do you make a proper crème caramel?","French custard dessert preparation technique"
"What are the positions in ice hockey?","Winter team sport player role assignments"
"What is the concept of nuclear fusion?","Atomic combination energy phenomenon"
"How do you properly cook buckwheat?","Pseudocereal preparation method"
"What are the rules of golf?","Club-and-ball sport regulations"
"What is the function of antibodies?","Immune defense protein purpose"
"How do you make a proper tabbouleh?","Middle Eastern herb salad preparation technique"
"What are the different events in equestrian competitions?","Horse riding sport categories"
"What is the process of metamorphosis?","Physical transformation biological mechanism"
"How do you properly cook mung beans?","Small legume preparation method"
"What are the rules of table tennis?","Paddle sport regulations"
"What is the difference between elements and compounds?","Chemical substance classification comparison"
"How do you make a proper coq au vin?","French chicken and wine stew preparation technique"
"What are the positions in field hockey?","Stick sport player role assignments"
"What is the theory of chaos?","Complex system behavior concept"
"How do you properly cook freekeh?","Young wheat preparation method"
"What are the different events in athletics?","Track and field sport categories"
"What is the function of the lymphatic system?","Fluid balance biological purpose"
"How do you make a proper moussaka?","Greek eggplant casserole preparation technique"
"What are the rules of fencing?","Sword combat sport regulations"
"What is the difference between genotype and phenotype?","Genetic expression comparison"
"How do you properly cook red lentils?","Quick-cooking legume preparation method"
"What is the difference between soccer and futsal?","Football variant comparison"
"What are the components of an atom?","Fundamental particle structure elements"
"How do you make a proper key lime pie?","American citrus dessert preparation technique"
"What are the positions in rugby sevens?","Short-form contact sport player role assignments"
"What is the concept of time dilation?","Relativistic physics phenomenon"
"How do you properly cook sushi rice?","Japanese sticky grain preparation method"
"What are the rules of diving competitions?","Aquatic acrobatic sport regulations"
"What is the function of platelets?","Blood clotting cellular purpose"
"How do you make a proper goulash?","Hungarian stew preparation technique"
"What are the different events in winter Olympics?","Cold-weather sport categories"
"What is the process of pollination?","Plant reproduction mechanism"
"How do you properly cook flageolet beans?","French legume preparation method"
"What are the rules of cricket?","Bat-and-ball sport regulations"
"What is the difference between metals and non-metals?","Element property classification comparison"
"How do you make a proper chocolate mousse?","French aerated dessert preparation technique"
"What are the positions in netball?","Goal sport player role assignments"
"What is the theory of superconductivity?","Zero-resistance physics concept"
"How do you properly cook amaranth?","Ancient grain preparation method"
"What are the different events in swimming competitions?","Aquatic sport categories"
"What is the function of the endocrine system?","Hormone regulation biological purpose"
"How do you make a proper ratatouille?","French vegetable stew preparation technique"
"What are the rules of judo?","Japanese grappling sport regulations"
"What is the difference between speed and velocity?","Motion measurement comparison"
"How do you properly cook black rice?","Specialty grain preparation method"
"What is the difference between cricket and baseball?","Bat-and-ball sport comparison"
"What are the stages of mitosis?","Cell division process phases"
"How do you make a proper tiramisu?","Italian coffee dessert preparation technique"
"What are the positions in soccer?","Football player role assignments"
"What is the concept of gravitational lensing?","Light bending astronomical phenomenon"
"How do you properly cook farro?","Ancient wheat grain preparation method"
"What are the rules of synchronized swimming?","Aquatic artistic sport regulations"
"What is the function of the nervous system?","Signal transmission biological purpose"
"How do you make a proper borscht?","Eastern European beet soup preparation technique"
"What are the different events in winter biathlon?","Skiing and shooting competition categories"
"What is the process of mitosis?","Cell division biological mechanism"
"How do you properly cook green lentils?","French legume preparation method"
"What are the rules of curling?","Ice sliding stone sport regulations"
"What is the difference between renewable and non-renewable energy?","Resource sustainability comparison"
"How do you make a proper flan?","Latin custard dessert preparation technique"
"What are the positions in baseball?","Diamond sport player role assignments"
"What is the theory of evolution by natural selection?","Species development mechanism concept"
"How do you properly cook polenta?","Italian cornmeal preparation method"
"What are the different events in gymnastics?","Acrobatic sport categories"
